UK559451910,0
UK76770000001,0
UK76770000002,0
UK76770000003,0
UK76770000004,0
UK76770000005,1
UK76770000006,1
UK76770000007,1
UK76770000008,0
UK76770000009,0
UK76770000010,1
UK76770000011,1
UK76770000012,1
UK76770000013,1
UK76770000014,0
UK76770000015,1
UK76770000016,1
UK76770000017,1
UK76770000018,0
UK76770000019,1
UK76770000020,0
UK76770000021,1
UK76770000022,1
UK76770000023,0
UK76770000024,0
UK76770000025,0
UK76770000026,1
UK76770000027,1
UK76770000028,1
UK76770000029,1
UK76770000030,1
UK76770000031,1
UK76770000032,0
UK76770000033,1
UK76770000034,0
UK76770000035,0
UK76770000036,0
UK76770000037,0
UK76770000038,1
UK76770000039,1
UK76770000040,0
UK76770000041,1
UK76770000042,0
UK76770000043,0
UK76770000044,0
UK76770000045,0
UK76770000046,1
UK76770000047,1
UK76770000048,1
UK76770000049,0
UK76770000050,1
UK76770000051,1
UK76770000052,0
UK76770000053,0
UK76770000054,1
UK76770000055,0
UK76770000056,1
UK76770000057,1
UK76770000058,1
UK76770000059,1
UK76770000060,1
UK76770000061,0
UK76770000062,0
UK76770000063,1
UK76770000064,1
UK76770000065,1
UK76770000066,0
UK76770000067,0
UK76770000068,1
UK76770000069,0
UK76770000070,1
UK76770000071,0
UK76770000072,0
UK76770000073,1
UK76770000074,1
UK76770000075,0
UK76770000076,1
UK76770000077,1
UK76770000078,0
UK76770000079,0
UK76770000080,0
UK76770000081,1
UK76770000082,0
UK76770000083,0
UK76770000084,1
UK76770000085,0
UK76770000086,0
UK76770000087,0
UK76770000088,0
UK76770000089,0
UK76770000090,0
UK76770000091,1
UK76770000092,1
UK76770000093,0
UK76770000094,1
UK76770000095,1
UK76770000096,1
UK76770000097,1
UK76770000098,1
UK76770000099,0
UK76770000100,1
UK76770000101,1
UK76770000102,0
UK76770000103,0
UK76770000104,0
UK76770000105,0
UK76770000106,1
UK76770000107,1
UK76770000108,0
UK76770000109,0
UK76770000110,0
UK76770000111,1
UK76770000112,1
UK76770000113,1
UK76770000114,1
UK76770000115,0
UK76770000116,0
UK76770000117,1
UK76770000118,0
UK76770000119,1
UK76770000120,1
UK76770000121,0
UK76770000122,0
UK76770000123,0
UK76770000124,1
UK76770000125,1
UK76770000126,1
UK76770000127,0
UK76770000128,1
UK76770000129,1
UK76770000130,0
UK76770000131,0
UK76770000132,1
UK76770000133,1
UK76770000134,0
UK76770000135,0
UK76770000136,1
UK76770000137,1
UK76770000138,1
UK76770000139,0
UK76770000140,1
UK76770000141,0
UK76770000142,1
UK76770000143,0
UK76770000144,1
UK76770000145,1
UK76770000146,0
UK76770000147,0
UK76770000148,0
UK76770000149,0
UK76770000150,0
UK76770000151,0
UK76770000152,0
UK76770000153,0
UK76770000154,1
UK76770000155,0
UK76770000156,0
UK76770000157,0
UK76770000158,1
UK76770000159,1
UK76770000160,0
UK76770000161,0
UK76770000162,0
UK76770000163,1
UK76770000164,1
UK76770000165,0
UK76770000166,0
UK76770000167,0
UK76770000168,0
UK76770000169,0
UK76770000170,1
UK76770000171,1
UK76770000172,0
UK76770000173,1
UK76770000174,0
UK76770000175,1
UK76770000176,0
UK76770000177,0
UK76770000178,0
UK76770000179,0
UK76770000180,0
UK76770000181,0
UK76770000182,0
UK76770000183,1
UK76770000184,0
UK76770000185,1
UK76770000186,1
UK76770000187,1
UK76770000188,1
UK76770000189,0
UK76770000190,1
UK76770000191,1
UK76770000192,0
UK76770000193,0
UK76770000194,0
UK76770000195,0
UK76770000196,0
UK76770000197,1
UK76770000198,0
UK76770000199,0
UK76770000200,1
UK76770000201,1
UK76770000202,1
UK76770000203,0
UK76770000204,0
UK76770000205,1
UK76770000206,0
UK76770000207,1
UK76770000208,0
UK76770000209,0
UK76770000210,0
UK76770000211,1
UK76770000212,0
UK76770000213,0
UK76770000214,0
UK76770000215,0
UK76770000216,0
UK76770000217,0
UK76770000218,0
UK76770000219,0
UK76770000220,0
UK76770000221,0
UK76770000222,0
UK76770000223,0
UK76770000224,0
UK76770000225,1
UK76770000226,0
UK76770000227,0
UK76770000228,1
UK76770000229,0
UK76770000230,0
UK76770000231,1
UK76770000232,1
UK76770000233,1
UK76770000234,1
UK76770000235,0
UK76770000236,0
UK76770000237,0
UK76770000238,0
UK76770000239,0
UK76770000240,1
UK76770000241,1
UK76770000242,0
UK76770000243,1
UK76770000244,1
UK76770000245,0
UK76770000246,0
UK76770000247,0
UK76770000248,1
UK76770000249,0
UK76770000250,0
UK76770000251,1
UK76770000252,0
UK76770000253,0
UK76770000254,0
